唯一Id	奖品ItemId	奖品meta	数量区间	图片	奖励类型 1)物品 2)游戏币	名字	描述多语言	备注
Id	ItemId	Meta	Num	Icon	Type	Name	Detail	
1	3571	0	1#1	set:game_items.json image:g1048_sword_christmas	1	Item_Name357100	Item_Desc357100	圣诞武器
2	3572	0	1#1	set:game_items.json image:g1048_helmet_christmas	1	Item_Name357200	Item_Desc357200	圣诞头饰
3	3573	0	1#1	set:game_items.json image:g1048_plate_christmas	1	Item_Name357300	Item_Desc357300	圣诞上衣
4	332	0	1#3	set:items.json image:snowball_0	1	Item_Name33200	Item_Desc33200	雪球
5	2441	0	1#5	#	1	Item_Name144100.name	Item_Desc144100	
6	2441	1	1#5	#	1	Item_Name144101.name	Item_Desc144101	
7	2441	2	1#5	#	1	Item_Name144102.name	Item_Desc144102	
8	2441	3	1#5	#	1	Item_Name144103.name	Item_Desc144103	
9	2441	4	1#5	#	1	Item_Name144104.name	Item_Desc144104	
10	2441	5	1#5	#	1	Item_Name144105.name	Item_Desc144105	
11	2441	6	1#5	#	1	Item_Name144106.name	Item_Desc144106	
12	2441	7	1#5	#	1	Item_Name144107.name	Item_Desc144107	
13	2441	8	1#5	#	1	Item_Name144108.name	Item_Desc144108	
14	2441	9	1#5	#	1	Item_Name144109.name	Item_Desc144109	
15	2441	10	1#5	#	1	Item_Name144110.name	Item_Desc144110	
16	2441	11	1#5	#	1	Item_Name144111.name	Item_Desc144111	
17	2441	12	1#5	#	1	Item_Name144112.name	Item_Desc144112	
18	2441	13	1#5	#	1	Item_Name144113.name	Item_Desc144113	
19	2441	14	1#5	#	1	Item_Name144114.name	Item_Desc144114	
20	2441	15	1#5	#	1	Item_Name144115.name	Item_Desc144115	
21	3574	0	1#1	set:game_items.json image:g1048_legs_christmas	1	Item_Name357400	Item_Desc357400	圣诞长裤
22	3575	0	1#1	set:game_items.json image:g1048_boots_christmas	1	Item_Name357500	Item_Desc357500	圣诞靴子
23	332	0	1#3	set:items.json image:snowball_0	1	Item_Name33200	Item_Desc33200	雪球
24	2443	0	1#3	#	1	Item_Name144300.name	Item_Desc144300	
25	2444	0	1#3	#	1	Item_Name144400.name	Item_Desc144400	
26	2445	0	1#3	#	1	Item_Name144500.name	Item_Desc144500	
27	2446	0	1#3	#	1	Item_Name144600.name	Item_Desc144600	
28	2447	0	1#3	#	1	Item_Name144700.name	Item_Desc144700	
29	2448	0	1#3	#	1	Item_Name144800.name	Item_Desc144800	
30	2449	0	1#3	#	1	Item_Name144900.name	Item_Desc144900	
31	2450	0	1#3	#	1	Item_Name145000.name	Item_Desc145000	
32	2451	0	1#3	#	1	Item_Name145100.name	Item_Desc145100	
33	2452	0	1#3	#	1	Item_Name145200.name	Item_Desc145200	
34	2453	0	1#3	#	1	Item_Name145300.name	Item_Desc145300	
35	2454	0	1#3	#	1	Item_Name145400.name	Item_Desc145400	
36	2455	0	1#3	#	1	Item_Name145500.name	Item_Desc145500	
37	2456	0	1#3	#	1	Item_Name145600.name	Item_Desc145600	
38	2457	0	1#3	#	1	Item_Name145700.name	Item_Desc145700	
39	2458	0	1#3	#	1	Item_Name145800.name	Item_Desc145800	
40	2459	0	1#3	#	1	Item_Name145900.name	Item_Desc145900	
41	2459	1	1#3	#	1	Item_Name145901.name	Item_Desc145901	
42	2459	2	1#3	#	1	Item_Name145902.name	Item_Desc145902	
43	2459	3	1#3	#	1	Item_Name145903.name	Item_Desc145903	
44	2459	4	1#3	#	1	Item_Name145904.name	Item_Desc145904	
45	2459	5	1#3	#	1	Item_Name145905.name	Item_Desc145905	
46	2459	6	1#3	#	1	Item_Name145906.name	Item_Desc145906	
47	2459	7	1#3	#	1	Item_Name145907.name	Item_Desc145907	
48	2460	0	1#3	#	1	Item_Name146000.name	Item_Desc146000	
49	2460	1	1#3	#	1	Item_Name146001.name	Item_Desc146001	
50	2460	2	1#3	#	1	Item_Name146002.name	Item_Desc146002	
51	2460	3	1#3	#	1	Item_Name146003.name	Item_Desc146003	
52	2460	4	1#3	#	1	Item_Name146004.name	Item_Desc146004	
53	2460	5	1#3	#	1	Item_Name146005.name	Item_Desc146005	
54	2460	6	1#3	#	1	Item_Name146006.name	Item_Desc146006	
55	2460	7	1#3	#	1	Item_Name146007.name	Item_Desc146007	
