Index	Season	Week	EXPLimit	TaskGroup
索引	赛季	周	周经验上线	任务组
Index	Season	Week	EXPLimit	TaskGroup
1	1	1	25000	1011
2	1	2	30000	1012
3	1	3	50000	1013
4	1	4	80000	1014
5	1	5	80000	1015
6	1	6	80000	1016
7	1	7	80000	1017
8	1	8	80000	1018
9	2	1	25000	1011
10	2	2	30000	1012
11	2	3	50000	1013
12	2	4	80000	1014
13	2	5	80000	1015
14	2	6	80000	1016
15	2	7	80000	1017
16	2	8	80000	1018
17	3	1	25000	1011
18	3	2	30000	1012
19	3	3	50000	1013
20	3	4	80000	1014
21	3	5	80000	1015
22	3	6	80000	1016
23	3	7	80000	1017
24	3	8	80000	1018
25	4	1	25000	1011
26	4	2	30000	1012
27	4	3	50000	1013
28	4	4	80000	1014
29	4	5	80000	1015
30	4	6	80000	1016
31	4	7	80000	1017
32	4	8	80000	1018
33	5	1	25000	1011
34	5	2	30000	1012
35	5	3	50000	1013
36	5	4	80000	1014
37	5	5	80000	1015
38	5	6	80000	1016
39	5	7	80000	1017
40	5	8	80000	1018
